id,CustomerName,,,Food Item,Quantity,Price
343,ChristopherRomero,a@test.com,ChristopherRomero343a@test.com,Burger,3,11.86
344,DeniseThompson,a@test.com,DeniseThompson344a@test.com,Salad,1,9.02
345,BillyWade,a@test.com,BillyWade345a@test.com,Ice Cream,1,9.7
346,JasonMartin,a@test.com,JasonMartin346a@test.com,Soup,4,8.76
347,PatriciaJenkins,a@test.com,PatriciaJenkins347a@test.com,Ice Cream,1,10.11
348,VeronicaBray,a@test.com,VeronicaBray348a@test.com,Fries,3,7.91
349,EmilyJackson,a@test.com,EmilyJackson349a@test.com,Ice Cream,4,13.71
350,JulieTucker,a@test.com,JulieTucker350a@test.com,Ice Cream,1,16.94
351,ChristopherDunlap,a@test.com,ChristopherDunlap351a@test.com,Soup,5,24.88
352,MicheleBall,a@test.com,MicheleBall352a@test.com,Brownie,1,13.91
353,CourtneyPatterson,a@test.com,CourtneyPatterson353a@test.com,Soup,1,18.17
354,ChristinaGarcia,a@test.com,ChristinaGarcia354a@test.com,Ice Cream,4,2.51
355,TimothyHarris,a@test.com,TimothyHarris355a@test.com,Pasta,1,13.86
356,AmberGomez,a@test.com,AmberGomez356a@test.com,Brownie,2,2.62
357,MatthewRogers,a@test.com,MatthewRogers357a@test.com,Pizza,1,16.55
358,Dr.JamesGarza,a@test.com,Dr.JamesGarza358a@test.com,Burger,4,22.68
359,MonicaHill,a@test.com,MonicaHill359a@test.com,Fries,3,9.42
360,SaraGraham,a@test.com,SaraGraham360a@test.com,Pasta,5,24.87
361,AmyBrowning,a@test.com,AmyBrowning361a@test.com,Pasta,3,15.26
362,DanielFowler,a@test.com,DanielFowler362a@test.com,Salad,1,9.07
363,GeoffreyJenkins,a@test.com,GeoffreyJenkins363a@test.com,Pasta,5,11.9
364,TamaraWu,a@test.com,TamaraWu364a@test.com,Soup,5,12.25
365,FrankPena,a@test.com,FrankPena365a@test.com,Pasta,4,3.5
366,JulieWatsonDVM,a@test.com,JulieWatsonDVM366a@test.com,Ice Cream,2,18.21
367,JasmineHarvey,a@test.com,JasmineHarvey367a@test.com,Brownie,1,7.33
368,CaseyJones,a@test.com,CaseyJones368a@test.com,Cake,2,8.52
369,CarlosDowns,a@test.com,CarlosDowns369a@test.com,Pasta,4,24.36
370,MichaelSmith,a@test.com,MichaelSmith370a@test.com,Brownie,4,9.4
371,CurtisBrown,a@test.com,CurtisBrown371a@test.com,Fries,2,6.3
372,AmandaWaters,a@test.com,AmandaWaters372a@test.com,Salad,2,18.47
373,WilliamCollins,a@test.com,WilliamCollins373a@test.com,Ice Cream,1,13.62
374,WesleyJimenez,a@test.com,WesleyJimenez374a@test.com,Fries,5,9.07
375,KarenSullivan,a@test.com,KarenSullivan375a@test.com,Salad,5,6.46
376,DanielFlores,a@test.com,DanielFlores376a@test.com,Burger,1,8.13
377,KristyNash,a@test.com,KristyNash377a@test.com,Pizza,3,14.58
378,LisaWalters,a@test.com,LisaWalters378a@test.com,Brownie,2,9.81
379,KennethMiranda,a@test.com,KennethMiranda379a@test.com,Burger,1,7.43
380,MarkSmith,a@test.com,MarkSmith380a@test.com,Cake,4,16.02
381,MikeBlackwell,a@test.com,MikeBlackwell381a@test.com,Pizza,1,19.62
382,LarryPerryMD,a@test.com,LarryPerryMD382a@test.com,Pizza,2,5.31
383,DianeMyers,a@test.com,DianeMyers383a@test.com,Burger,4,3.18
384,DeborahSalazar,a@test.com,DeborahSalazar384a@test.com,Fries,4,12.8
385,JosephBarnes,a@test.com,JosephBarnes385a@test.com,Ice Cream,3,4.05
386,BrandonKing,a@test.com,BrandonKing386a@test.com,Salad,1,6.8
387,VickiTaylor,a@test.com,VickiTaylor387a@test.com,Ice Cream,2,3.8
388,ChristinaAdams,a@test.com,ChristinaAdams388a@test.com,Pasta,5,18.18
389,BrianSmith,a@test.com,BrianSmith389a@test.com,Brownie,1,21.71
390,CoreyRodriguez,a@test.com,CoreyRodriguez390a@test.com,Salad,2,22.45
391,ChristopherScott,a@test.com,ChristopherScott391a@test.com,Soup,5,13.95
392,SusanCarter,a@test.com,SusanCarter392a@test.com,Pasta,1,16.06
393,RichardRoberts,a@test.com,RichardRoberts393a@test.com,Burger,2,12.61
394,KimberlyCarter,a@test.com,KimberlyCarter394a@test.com,Salad,5,23.15
395,ThomasBurch,a@test.com,ThomasBurch395a@test.com,Ice Cream,1,11.52
396,SarahBaker,a@test.com,SarahBaker396a@test.com,Fries,5,17.43
397,WesleyLe,a@test.com,WesleyLe397a@test.com,Cake,3,24.03
398,MichaelRobinson,a@test.com,MichaelRobinson398a@test.com,Pasta,2,7.19
399,JenniferPearson,a@test.com,JenniferPearson399a@test.com,Salad,3,11.61
400,LauraValdez,a@test.com,LauraValdez400a@test.com,Burger,3,4.78
401,ChristinaJohnson,a@test.com,ChristinaJohnson401a@test.com,Pasta,5,10.46
402,EricNguyen,a@test.com,EricNguyen402a@test.com,Pizza,4,22.41
403,WilliamCross,a@test.com,WilliamCross403a@test.com,Salad,4,22.46
404,MelissaDuncan,a@test.com,MelissaDuncan404a@test.com,Fries,2,22.97
405,DavidRobinson,a@test.com,DavidRobinson405a@test.com,Cake,4,22.78
406,JaneGuzman,a@test.com,JaneGuzman406a@test.com,Salad,1,15.84
407,LisaGregory,a@test.com,LisaGregory407a@test.com,Fries,2,24.51
408,MarkRandolph,a@test.com,MarkRandolph408a@test.com,Cake,5,10.53
409,JadeGilbert,a@test.com,JadeGilbert409a@test.com,Burger,4,19.86
410,BrianHernandez,a@test.com,BrianHernandez410a@test.com,Brownie,3,13.97
411,GregoryStephens,a@test.com,GregoryStephens411a@test.com,Brownie,1,17.35
412,MarvinBonilla,a@test.com,MarvinBonilla412a@test.com,Pasta,5,14.17
413,LindaDean,a@test.com,LindaDean413a@test.com,Pizza,1,6.27
414,CaseyGonzalez,a@test.com,CaseyGonzalez414a@test.com,Brownie,4,12.91
415,NicholasCarter,a@test.com,NicholasCarter415a@test.com,Cake,3,14.89
416,KennethFerguson,a@test.com,KennethFerguson416a@test.com,Pizza,1,20.26
417,MichaelGordon,a@test.com,MichaelGordon417a@test.com,Salad,2,15.5
418,JoseMacias,a@test.com,JoseMacias418a@test.com,Burger,2,22.54
419,DavidEllis,a@test.com,DavidEllis419a@test.com,Fries,5,20.81
420,HeatherCollins,a@test.com,HeatherCollins420a@test.com,Ice Cream,2,8.85
421,HannahBrown,a@test.com,HannahBrown421a@test.com,Soup,5,5.12
422,DerekCooper,a@test.com,DerekCooper422a@test.com,Cake,1,2.51
423,RobertoFarrell,a@test.com,RobertoFarrell423a@test.com,Cake,3,7.48
424,ValerieJones,a@test.com,ValerieJones424a@test.com,Fries,4,18.67
425,DennisTurner,a@test.com,DennisTurner425a@test.com,Brownie,4,23.76
426,ElizabethJones,a@test.com,ElizabethJones426a@test.com,Pizza,5,8.86
427,JenniferSnyder,a@test.com,JenniferSnyder427a@test.com,Fries,4,21.58
428,ChristopherFrederick,a@test.com,ChristopherFrederick428a@test.com,Cake,5,4.4
429,ChristopherAli,a@test.com,ChristopherAli429a@test.com,Cake,2,19.52
430,PaulWrightMD,a@test.com,PaulWrightMD430a@test.com,Pizza,1,10.08
431,JonathanTurner,a@test.com,JonathanTurner431a@test.com,Burger,4,19.73
432,JosephKelley,a@test.com,JosephKelley432a@test.com,Brownie,4,13.24
433,JaniceSanchez,a@test.com,JaniceSanchez433a@test.com,Soup,5,2.44
434,JamesMoran,a@test.com,JamesMoran434a@test.com,Ice Cream,4,10
435,LaurenMendez,a@test.com,LaurenMendez435a@test.com,Pizza,1,22.59
436,JeanMiller,a@test.com,JeanMiller436a@test.com,Ice Cream,5,9.69
437,DarrellWolfe,a@test.com,DarrellWolfe437a@test.com,Fries,2,21.63
438,CarolynWright,a@test.com,CarolynWright438a@test.com,Soup,5,23.02
439,EvanHoward,a@test.com,EvanHoward439a@test.com,Pizza,4,3.61
440,NormaAvila,a@test.com,NormaAvila440a@test.com,Pasta,4,20.7
441,AnthonyRobinson,a@test.com,AnthonyRobinson441a@test.com,Brownie,5,3.58
442,JamesRose,a@test.com,JamesRose442a@test.com,Pizza,1,5.11
443,CourtneyDixon,a@test.com,CourtneyDixon443a@test.com,Cake,5,13.65
444,MeganPeterson,a@test.com,MeganPeterson444a@test.com,Pizza,4,18.38
445,JessicaRichmond,a@test.com,JessicaRichmond445a@test.com,Pizza,4,17.87
446,JenniferHunter,a@test.com,JenniferHunter446a@test.com,Fries,3,17.36
447,MichaelWoodward,a@test.com,MichaelWoodward447a@test.com,Ice Cream,3,14.01
448,KevinWalker,a@test.com,KevinWalker448a@test.com,Fries,2,18.8
449,HeatherRussell,a@test.com,HeatherRussell449a@test.com,Brownie,4,15.75
450,JenniferSantos,a@test.com,JenniferSantos450a@test.com,Soup,1,6.65
451,LucasSantiago,a@test.com,LucasSantiago451a@test.com,Brownie,4,24.79
452,GregoryHicksMD,a@test.com,GregoryHicksMD452a@test.com,Pizza,2,3.25
453,AnthonyArmstrong,a@test.com,AnthonyArmstrong453a@test.com,Fries,4,6.04
454,PamelaMoore,a@test.com,PamelaMoore454a@test.com,Salad,3,22.03
455,GaryPhillips,a@test.com,GaryPhillips455a@test.com,Pasta,2,17.57
456,JenniferWilliams,a@test.com,JenniferWilliams456a@test.com,Pizza,3,23.69
457,TroyRoberts,a@test.com,TroyRoberts457a@test.com,Pasta,2,7.19
458,ThomasPineda,a@test.com,ThomasPineda458a@test.com,Cake,5,19.21
459,RobertCampbell,a@test.com,RobertCampbell459a@test.com,Salad,1,21.57
460,MoniqueCamacho,a@test.com,MoniqueCamacho460a@test.com,Fries,2,4.4
461,EthanCombs,a@test.com,EthanCombs461a@test.com,Ice Cream,4,16.21
462,PatrickHammond,a@test.com,PatrickHammond462a@test.com,Ice Cream,4,12.85
463,ThomasAguirre,a@test.com,ThomasAguirre463a@test.com,Salad,4,17.29
464,LarryHiggins,a@test.com,LarryHiggins464a@test.com,Pizza,3,9.64
465,DonaldScott,a@test.com,DonaldScott465a@test.com,Soup,1,12.99
466,JenniferMoreno,a@test.com,JenniferMoreno466a@test.com,Brownie,2,20.3
467,HeatherPeterson,a@test.com,HeatherPeterson467a@test.com,Burger,5,14.54
468,MichaelRoberts,a@test.com,MichaelRoberts468a@test.com,Fries,1,16.32
469,MichaelSkinner,a@test.com,MichaelSkinner469a@test.com,Brownie,4,19.7
470,DerekYoung,a@test.com,DerekYoung470a@test.com,Cake,2,8.64
471,JeanetteFlynn,a@test.com,JeanetteFlynn471a@test.com,Pizza,1,13.85
472,SuzanneGraham,a@test.com,SuzanneGraham472a@test.com,Soup,2,24.01
473,BrittanyWatson,a@test.com,BrittanyWatson473a@test.com,Soup,1,24.64
474,CodyGonzalez,a@test.com,CodyGonzalez474a@test.com,Brownie,5,2.81
475,ShaneGarcia,a@test.com,ShaneGarcia475a@test.com,Pizza,3,21.3
476,MiguelMendoza,a@test.com,MiguelMendoza476a@test.com,Ice Cream,2,4.24
477,TimothyReeves,a@test.com,TimothyReeves477a@test.com,Ice Cream,1,12.57
478,AmandaMahoney,a@test.com,AmandaMahoney478a@test.com,Burger,4,9.64
479,JohnSutton,a@test.com,JohnSutton479a@test.com,Burger,2,6.44
480,EricMoss,a@test.com,EricMoss480a@test.com,Brownie,5,7.94
481,DebbieCastillo,a@test.com,DebbieCastillo481a@test.com,Salad,2,15.76
482,KellyCurry,a@test.com,KellyCurry482a@test.com,Ice Cream,4,2.06
483,ElizabethHunter,a@test.com,ElizabethHunter483a@test.com,Soup,1,4.58
484,ElizabethFrazier,a@test.com,ElizabethFrazier484a@test.com,Soup,1,16.58
485,EricaBrowning,a@test.com,EricaBrowning485a@test.com,Burger,5,2.15
486,JamesMorgan,a@test.com,JamesMorgan486a@test.com,Pasta,5,12.83
487,MargaretMcdowell,a@test.com,MargaretMcdowell487a@test.com,Ice Cream,2,13.64
488,StevenMelendez,a@test.com,StevenMelendez488a@test.com,Fries,4,15.55
489,DianeGarza,a@test.com,DianeGarza489a@test.com,Pizza,4,21.66
490,JasonRussell,a@test.com,JasonRussell490a@test.com,Burger,1,5.86
491,CatherineMartinez,a@test.com,CatherineMartinez491a@test.com,Brownie,4,20.26
492,ThomasHuynh,a@test.com,ThomasHuynh492a@test.com,Ice Cream,2,2.27
493,SusanBrowning,a@test.com,SusanBrowning493a@test.com,Pizza,1,8.5
494,JamesButler,a@test.com,JamesButler494a@test.com,Soup,4,13.64
495,JosephHamilton,a@test.com,JosephHamilton495a@test.com,Brownie,1,2.59
496,AlyssaAnthony,a@test.com,AlyssaAnthony496a@test.com,Pizza,1,21.31
497,JerryPineda,a@test.com,JerryPineda497a@test.com,Soup,3,15.99
498,BrandySmith,a@test.com,BrandySmith498a@test.com,Pasta,2,8.54
499,IvanHaynes,a@test.com,IvanHaynes499a@test.com,Soup,5,20.54
500,AmberMendez,a@test.com,AmberMendez500a@test.com,Ice Cream,2,18.86
